id,name,mark,feetype
200000,萌小江,哈喽！我是表情丰富的多肉小瓶子，萌酱！,1
200001,薄荷兔第三季,软软糯糯就是小可爱，我呀！,1
200002,豆芽菜二,好玩的豆芽菜又来啦。,1
200003,大头宝宝日常表情,大大头，就是我，我是大头宝宝。,1
200004,百变冷兔宝宝,在各个剧场玩耍的冷兔宝宝。,1
200005,折扇日常用语,一把折扇，一句真诚的问候，在这个夏天！给您带来一丝凉爽！,1
200006,兵哥哥,我们的队伍向太阳,1
200007,兵哥哥日常,一日生活制度,1
200008,塑料姐弟包,姐姐教你做人，弟弟教你认怂系列表情包来了，姐姐&弟弟们快用这组表情来让聊天更有料吧！,1
200009,小笨猪和小坏蛋,小笨猪和小坏蛋的搞笑日常,1
200010,茶杯狗茶米四,可爱的茶米又来了,1
200011,奶萌兔第四弹,我们兔宝宝就是喜欢瞎蹦跶呀,1
200012,杠精指南表情,杠精指南，本杠精带你杠到底。,1
200013,脸红小馒头第三弹,小馒头第三弹闪亮登场！,1
200014,愤怒的小鸟蓝弟第,"强势围观三胞胎Jack,Jay和Jim的超萌日常，带走他们一起聊天啊！",1
200015,蜜桃猫第四弹,爱抖耳朵卖萌的小蜜桃又来啦,1
200016,薄荷兔第四季,清新甜甜的我，软萌驾到！,1
200017,家庭日常表情六,家庭成员日常聊天，长辈日常聊天，老少皆宜！,1
200018,小宝贝儿,小宝贝儿的第三季哦,1
200019,哈小二,一只搞怪又暖暖的小二哈,1
200020,污大娘,老娘我不卖萌，也不可爱谁敢在老娘面前嚣张，老娘就分分钟教你重新做人！,1
200026,七夕快乐情侣字,老婆大人，七夕快乐，永远爱你，亲亲老公！,1
200027,喵酱包陈小闹,我是喵酱包家族的陈小闹，想上天看看大灰鸡是什么样的。希望各位段友，抖友，鸡友帮我顶上去。,1
200028,七夕情侣喜小鹊,我是喜小鹊，来自小小鸟家族，祝你七夕快乐！天天都过情人节！,1
200029,玫瑰花语,送给你爱的人一束玫瑰吧,1
200031,小兔几对话框二,小粉酱与臭白桑的日常对话框又来了！,1
200032,措漫猫第三弹,措漫家族，欢迎大家！,1
200033,软萌仔日常一,我是一颗柠檬柠檬柠檬，可爱的柠檬，害羞的柠檬,1
200034,起司猫,我是一只快乐悠闲的猫主子，欢迎各位铲屎官帮我铲屎，多多喂食，啦啦啦。,1
200035,大白第三弹,小搞怪又来啦！,1
200036,胖胖咩甜蜜恋爱篇,胖胖咩和咖啡咩的快乐生活，来一起抱抱他们吧！,1
200037,茶茶小黑人,茶叶物语的表情包上线啦，来自福建的茶茶和大家见面啦，还等什么！快来下载呀，让你的聊天与众不同！,1
200038,桃子一家放假啦,放假啦一起出去high吧！,1
200039,烧烤吃什么,世界上没有什么事儿是一顿烧烤不能解决的。如果有，那就两顿。,1
200040,椰椰椰常用斗图,这年头不备点流行语斗图表情都不敢和别人斗图啦，赶紧下载了解一下,1
200041,小拉希一,伦家是一只可耐滴小兔几，伦家名字叫拉希，不是拉稀哦。,1
200042,一只傲娇猫第四弹,我又肥来了,1
200043,情侣小软萌一,可爱Q版情侣表情系列,1
200044,猫大头,犀利眼神看透你的心思,1
200045,汪酱与兔妹的日常,拉小手，一起走,1
200046,情人节专属,情人节专属，欢迎大家下载使用！可以单发，也可以连续发！,1
200047,搞笑贴图,整蛊恶搞必备神器，斗不过图怎么办，给他贴一个图，哈哈哈哈,1
200048,蓝尼可漫画篇,这次完全是载图《蓝尼可》漫画制作成表情包呢。,1
200049,水果家族,家人，亲朋好友，长辈中老年都可以使用，日常问候聊天经典表情。,1
200050,牛先生二,股市沉浮，阿牛不改初心,1
200051,招财兔第二弹,萌萌哒招财兔，招财进宝咯！,1
200052,蛋蛋日常篇,【丸子联萌】可爱的蛋蛋又来陪你聊天啦嘻嘻,1
200053,花式跪老板,让你跪得不重样,1
200054,羽月甜甜情侣篇,羽月甜甜情侣篇上线啦，由于喜欢吃甜食，甜甜好像又长胖了在幸福甜蜜的时光里，希望甜甜能给大家带去甜蜜,1
200056,猫与熊之寂寞,成人的世界总有那么点孤单，就让AOWO来陪你吧,1
200057,猫e,这是非洲猫和幸运星的故事，故事要从很久很久以前的那片大草原说起。欢迎下载，让我慢慢讲给你听。,1
200058,茱栗叶围巾篇,茱栗叶买了漂亮的新围巾啦，好看吗？,1
200060,饼干暴走篇,我好焦灼，我好烦躁啊,1
200061,海苔宝宝,生活在干燥星球海洋深处的海苔宝宝们勤劳刻苦地训练，通过不懈的努力，最终逆风翻盘，成为深海第一男团！,1
200062,抱抱情侣篇,抱抱亲亲举...举...举不动,1
200063,小猪雷米二,动起来的我更可爱呦,1
200064,七夕甜蜜暴击篇,喵喵喵你的小可爱狗子来陪你过七夕啦喵,1
200065,长草颜团子第九篇,”我有一个超能力，就是超超超超喜欢你！“超喜欢你的团子来啦！承包你的聊天！,1
200066,老雷第二汪夏日篇,和汪一起成为肥宅一起快乐一夏,1
200067,饼干的日常,饼干的日常表情，快来一起玩吧！,1
200068,豆芽菜三,能吃的dodo了解一下？,1
200069,瑞克和莫蒂,川香酱不用想了，表情包是可以有的。,1
200070,鸭嘴兽男孩第一弹,呆萌耍贱的鸭嘴兽男孩，给你带来无限的欢乐,1
200071,徐拾叁,白面萌妹等你来撩,1
200072,机器人小匠,小匠匠是个机器银哦,1
200073,快来斗图聊天,一起斗图，一起搞气氛了喂,1
200075,冷兔宝宝奋斗篇,我们都在奋斗的路上慢慢成长,4
200076,屁屁兔,我是屁屁，雪雪兔家族的老幺，我从小就和家族其他雪雪兔长得不一样。但是为了萝卜，我还是会努力卖萌养家的,1
200077,一字烟花,人生最浪漫的事，不过就是能够和你爱的人，一起站在烟花雨下看烟花……,1
200078,小肚皮恋爱记,Hey，听说你无聊了？校园弄潮儿最心水的“小肚皮”带你飞！有趣的人都在用小肚皮扩列交朋友哦！就等你啦！,1
200079,可乐宝宝二,可乐宝宝又来啦,1
